trip_id,route_id,route_name,date,departure_time,scheduled_arrival,actual_arrival,passengers,capacity,trip_status,fare,distance_km,delay_minutes,utilization_rate,revenue,day_of_week,month,peak_hour
T00001,R07,West End - Central Station,2026-01-17,14:20,14:45,14:54,14,70,Completed,32.38,13.6,9,0.2,453.32,Saturday,2026-01,Off-Peak
T00002,R04,North Terminal - City Center,2026-01-27,12:50,13:09,13:17,38,60,Completed,26.13,10.4,8,0.6333,992.94,Tuesday,2026-01,Off-Peak
T00003,R13,East Park - Medical Hub,2025-02-21,14:10,14:31,14:40,25,60,Completed,24.08,11.5,9,0.4167,602.0,Friday,2025-02,Off-Peak
T00004,R15,City Center - Railway Colony,2025-10-16,15:00,15:14,15:15,21,60,Completed,18.3,7.6,1,0.35,384.3,Thursday,2025-10,Off-Peak
T00005,R11,North Terminal - University,2025-12-03,12:00,12:27,12:34,44,60,Completed,35.22,14.7,7,0.7333,1549.68,Wednesday,2025-12,Off-Peak
T00006,R08,City Center - Medical Hub,2025-07-23,22:10,22:26,22:34,42,70,Completed,21.17,8.9,8,0.6,889.14,Wednesday,2025-07,Off-Peak
T00007,R13,East Park - Medical Hub,2025-08-26,14:40,15:01,15:09,34,60,Completed,27.66,11.5,8,0.5667,940.44,Tuesday,2025-08,Off-Peak
T00008,R05,South Terminal - City Center,2026-01-17,18:10,18:31,18:42,42,60,Completed,27.28,11.7,11,0.7,1145.76,Saturday,2026-01,Peak
T00009,R07,West End - Central Station,2025-05-16,16:40,17:05,17:09,24,70,Completed,29.66,13.6,4,0.3429,711.84,Friday,2025-05,Off-Peak
T00010,R10,Industrial Area - Airport,2026-02-11,18:00,18:39,18:53,32,50,Completed,47.14,21.1,14,0.64,1508.48,Wednesday,2026-02,Peak
T00011,R03,Central Station - Industrial Area,2026-05-23,10:50,11:19,11:21,29,60,Completed,33.6,15.8,2,0.4833,974.4,Saturday,2026-05,Off-Peak
T00012,R07,West End - Central Station,2025-12-28,11:20,11:45,11:53,24,70,Completed,33.52,13.6,8,0.3429,804.48,Sunday,2025-12,Off-Peak
T00013,R11,North Terminal - University,2026-01-16,13:30,13:57,14:10,36,50,Completed,33.52,14.7,13,0.72,1206.72,Friday,2026-01,Off-Peak
T00014,R11,North Terminal - University,2025-09-11,18:50,19:17,19:29,59,60,Completed,34.47,14.7,12,0.9833,2033.73,Thursday,2025-09,Peak
T00015,R08,City Center - Medical Hub,2026-04-22,10:00,10:16,10:19,39,60,Completed,19.08,8.9,3,0.65,744.12,Wednesday,2026-04,Off-Peak
T00016,R05,South Terminal - City Center,2025-04-24,21:00,21:21,21:27,34,50,Completed,26.88,11.7,6,0.68,913.92,Thursday,2025-04,Off-Peak
T00017,R04,North Terminal - City Center,2025-01-20,09:00,09:19,09:27,51,60,Completed,23.91,10.4,8,0.85,1219.41,Monday,2025-01,Peak
T00018,R08,City Center - Medical Hub,2026-06-12,10:30,10:46,10:54,42,50,Completed,21.11,8.9,8,0.84,886.62,Friday,2026-06,Off-Peak
T00019,R08,City Center - Medical Hub,2025-05-25,10:40,10:56,11:03,30,60,Completed,20.66,8.9,7,0.5,619.8,Sunday,2025-05,Off-Peak
T00020,R03,Central Station - Industrial Area,2025-07-27,14:20,14:49,14:54,28,60,Completed,37.35,15.8,5,0.4667,1045.8,Sunday,2025-07,Off-Peak
